sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_7_0,2023-11-17T20:06:45.311Z,,,,1,1.238264833797662,1.176099940770289,,,true,ll,7690.484999952314,response,-1.0581281450494728,1.2,-1.2,-1.133169116569424,1.2,-1.2,low,low,,ISIC_0032861.JPG,,ISIC_5490352.JPG,25,true,0.15000000000000002,ll,keypress(f),0,false,269943.5,269943.2999999523,262236.251,262453,262252.815,269752.863,1,40,8,
sequence,flow.Sequence,6_7,2023-11-17T20:06:45.311Z,,,,,,,,,,,7690.484999952314,completion,,,,,,,low,low,,,,,,true,,,,,false,269943.89999997616,269943.2999999523,262236.251,262453,262252.815,269752.863,1,40,,
trial,html.Screen,6_8_0,2023-11-17T20:06:51.606Z,,,,1,1.1474466950560966,1.173734476257662,,,true,ll,6485.336999988067,response,-1.1990772227054871,1.2,-1.2,-1.1224329926844498,1.2,-1.2,low,low,,ISIC_5216586.JPG,,ISIC_3425388.JPG,25,true,0.15000000000000002,ll,keypress(f),0,false,276238.39999997616,276238.1999999881,269735.884,269944.09999996424,269752.863,276069.448,1,40,9,
sequence,flow.Sequence,6_8,2023-11-17T20:06:51.606Z,,,,,,,,,,,6485.336999988067,completion,,,,,,,low,low,,,,,,true,,,,,false,276238.6999999881,276238.1999999881,269735.884,269944,269752.863,276069.448,1,40,,
trial,html.Screen,6_9_0,2023-11-17T20:06:55.504Z,,,,1,1.0748728054622358,-1.2840853987892311,,,true,lh,4066.3519999523414,response,-0.8494721812820843,1.2,-1.2,1.3435429139974266,1.2,-1.2,low,high,,ISIC_0059219.JPG,,ISIC_0033585.JPG,29,true,0.3600000000000002,lh,keypress(e),0,false,280136.09999996424,280135.7999999523,276019.49,276238.89999997616,276069.448,279936.166,1,40,10,
sequence,flow.Sequence,6_9,2023-11-17T20:06:55.504Z,,,,,,,,,,,4066.3519999523414,completion,,,,,,,low,high,,,,,,true,,,,,false,280136.5,280135.7999999523,276019.49,276238.7999999523,276069.448,279936.166,1,40,,
trial,html.Screen,6_10_0,2023-11-17T20:07:00.454Z,,,,1,1.3034518282811869,1.0897657776277234,,,true,ll,5150.433999964211,response,-1.3471772753257971,1.2,-1.2,-1.055978100098093,1.2,-1.2,low,low,,ISIC_0071988.JPG,,ISIC_2077116.JPG,127,true,0.3300000000000002,ll,keypress(f),0,false,285086.89999997616,285086.59999996424,279919.471,280136.6999999881,279936.166,284902.726,1,40,11,
sequence,flow.Sequence,6_10,2023-11-17T20:07:00.455Z,,,,,,,,,,,5150.433999964211,completion,,,,,,,low,low,,,,,,true,,,,,false,285087.1999999881,285086.59999996424,279919.471,280136.59999996424,279936.166,284902.726,1,40,,
trial,html.Screen,6_11_0,2023-11-17T20:07:05.045Z,,,,1,0.9448560599810628,-0.9099421612683488,,,true,lh,4774.773999999976,response,-1.2838089642212804,1.2,-1.2,0.8550527900640753,1.2,-1.2,low,high,,ISIC_9684318.JPG,,ISIC_0034187.JPG,29,true,0.3600000000000002,lh,keypress(e),0,false,289677.59999996424,289677.5,284869.406,285087.39999997616,284902.726,289486.368,1,40,12,
sequence,flow.Sequence,6_11,2023-11-17T20:07:05.045Z,,,,,,,,,,,4774.773999999976,completion,,,,,,,low,high,,,,,,true,,,,,false,289677.7999999523,289677.5,284869.406,285087.39999997616,284902.726,289486.368,1,40,,
trial,html.Screen,6_12_0,2023-11-17T20:07:12.926Z,,,,1,-1.1990772227054871,-1.1224329926844498,,,true,hh,8071.831999988062,response,1.2509824984798106,1.2,-1.2,1.4894378586688672,1.2,-1.2,high,high,,ISIC_3425388.JPG,,ISIC_0069967.JPG,211,true,0.3300000000000002,hh,keypress(i),0,false,297558.39999997616,297558.1999999881,289469.568,289677.89999997616,289486.368,297352.784,1,40,13,
sequence,flow.Sequence,6_12,2023-11-17T20:07:12.926Z,,,,,,,,,,,8071.831999988062,completion,,,,,,,high,high,,,,,,true,,,,,false,297558.7999999523,297558.1999999881,289469.568,289677.89999997616,289486.368,297352.784,1,40,,
trial,html.Screen,6_13_0,2023-11-17T20:07:18.206Z,,,,1,-1.0885984639975343,-1.2042618719491294,,,true,hh,5485.615999976173,response,1.152619213055059,1.2,-1.2,1.2957497771092716,1.2,-1.2,high,high,,ISIC_0012740.JPG,,ISIC_0061915.JPG,41,true,0.15000000000000002,hh,keypress(i),0,false,302838.6999999881,302838.39999997616,297335.94,297559,297352.784,302636.046,1,40,14,
sequence,flow.Sequence,6_13,2023-11-17T20:07:18.207Z,,,,,,,,,,,5485.615999976173,completion,,,,,,,high,high,,,,,,true,,,,,false,302839.1999999881,302838.39999997616,297335.94,297559,297352.784,302636.046,1,40,,
trial,html.Screen,6_14_0,2023-11-17T20:07:23.005Z,,,,1,-1.1638334638021437,-1.0846635401396965,,,true,hh,5001.053999964264,response,1.2040551955011098,1.2,-1.2,1.2664651062241792,1.2,-1.2,high,high,,ISIC_4718313.JPG,,ISIC_0068886.JPG,41,true,0.15000000000000002,hh,keypress(i),0,false,307637.09999996424,307637.09999996424,302619.489,302839.39999997616,302636.046,307436.002,1,40,15,
sequence,flow.Sequence,6_14,2023-11-17T20:07:23.005Z,,,,,,,,,,,5001.053999964264,completion,,,,,,,high,high,,,,,,true,,,,,false,307637.2999999523,307637.09999996424,302619.489,302839.2999999523,302636.046,307436.002,1,40,,
