sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,6_8_0,2023-11-27T19:04:22.818Z,,,,1,-1.1407514641016443,-1.280017651202714,,,true,hh,2884.2679998569656,response,1.1217390688497193,1.2,-1.2,1.2276600934505035,1.2,-1.2,high,high,,ISIC_0072507.JPG,,ISIC_0026344.JPG,,25,true,0.15000000000000002,hh,keypress(i),0,false,275266,275265.89999985695,272347.078,272362.5,272381.632,275280.365,1,40,9,
sequence,flow.Sequence,6_8,2023-11-27T19:04:22.818Z,,,,,,,,,,,2884.2679998569656,completion,,,,,,,high,high,,,,,,,true,,,,,false,275266.19999980927,275265.89999985695,272347.078,272362.5,272381.632,275280.365,1,40,,
trial,html.Screen,6_9_0,2023-11-27T19:04:27.274Z,,,,1,1.3471772753257971,1.055978100098093,,,true,ll,4441.534999856958,response,-1.3034518282811869,1.2,-1.2,-1.0897657776277234,1.2,-1.2,low,low,,ISIC_2077116.JPG,,ISIC_0071988.JPG,,27,true,0.12,ll,keypress(f),0,false,279722.09999990463,279721.89999985695,275263.784,275266.2999999523,275280.365,279746.965,1,40,10,
sequence,flow.Sequence,6_9,2023-11-27T19:04:27.274Z,,,,,,,,,,,4441.534999856958,completion,,,,,,,low,low,,,,,,,true,,,,,false,279722.19999980927,279721.89999985695,275263.784,275266.19999980927,275280.365,279746.965,1,40,,
trial,html.Screen,6_10_0,2023-11-27T19:04:32.626Z,,,,1,-1.0345332538240786,1.4719115945084815,,,true,hl,5327.634999904607,response,1.1235224875125256,1.2,-1.2,-0.8641223012137988,1.2,-1.2,high,low,,ISIC_0192490.JPG,,ISIC_0033901.JPG,,29,true,0.3600000000000002,hl,keypress(j),0,false,285074.7999999523,285074.59999990463,279713.637,279722.2999999523,279746.965,285096.966,1,40,11,
sequence,flow.Sequence,6_10,2023-11-27T19:04:32.627Z,,,,,,,,,,,5327.634999904607,completion,,,,,,,high,low,,,,,,,true,,,,,false,285075,285074.59999990463,279713.637,279722.2999999523,279746.965,285096.966,1,40,,
trial,html.Screen,6_11_0,2023-11-27T19:04:37.251Z,,,,1,-0.9212323139676136,0.9882196642247332,,,true,hl,4602.033999999985,response,1.3559315773956395,1.2,-1.2,-0.924768326187701,1.2,-1.2,high,low,,ISIC_0014255.JPG,,ISIC_5101111.JPG,,29,true,0.3600000000000002,hl,keypress(j),0,false,289699.19999980927,289699,285063.553,285075.2999999523,285096.966,289713.741,1,40,12,
sequence,flow.Sequence,6_11,2023-11-27T19:04:37.251Z,,,,,,,,,,,4602.033999999985,completion,,,,,,,high,low,,,,,,,true,,,,,false,289699.59999990463,289699,285063.553,285075.19999980927,285096.966,289713.741,1,40,,
trial,html.Screen,6_12_0,2023-11-27T19:04:41.594Z,,,,1,-1.2872758518949912,-1.313723254903214,,,true,hh,4328.458999809285,response,0.9116506478817816,1.2,-1.2,1.0416072379908032,1.2,-1.2,high,high,,ISIC_0064376.JPG,,ISIC_3273370.JPG,,127,true,0.3300000000000002,hh,keypress(i),0,false,294042.39999985695,294042.19999980927,289696.842,289699.7999999523,289713.741,294080.329,1,40,13,
sequence,flow.Sequence,6_12,2023-11-27T19:04:41.594Z,,,,,,,,,,,4328.458999809285,completion,,,,,,,high,high,,,,,,,true,,,,,false,294042.5,294042.19999980927,289696.842,289699.7999999523,289713.741,294080.329,1,40,,
trial,html.Screen,6_13_0,2023-11-27T19:04:47.051Z,,,,1,1.2615315960773072,-1.194084675079932,,,true,lh,5418.670999999973,response,-0.887838744955182,1.2,-1.2,1.3716210719758812,1.2,-1.2,low,high,,ISIC_0010044.JPG,,ISIC_1488727.JPG,,26,true,0.3300000000000002,lh,keypress(e),0,false,299499.2999999523,299499,294030.291,294042.69999980927,294080.329,299513.822,1,40,14,
sequence,flow.Sequence,6_13,2023-11-27T19:04:47.051Z,,,,,,,,,,,5418.670999999973,completion,,,,,,,low,high,,,,,,,true,,,,,false,299499.59999990463,299499,294030.291,294042.59999990463,294080.329,299513.822,1,40,,
trial,html.Screen,6_14_0,2023-11-27T19:04:49.579Z,,,,1,-1.1474466950560966,-1.173734476257662,,,true,hh,2513.0779998569633,response,1.212030980680325,1.2,-1.2,1.139863018685685,1.2,-1.2,high,high,,ISIC_5216586.JPG,,ISIC_0008510.JPG,,157,true,0.3600000000000002,hh,keypress(i),0,false,302027.09999990463,302026.89999985695,299496.882,299499.7999999523,299513.822,302063.61,1,40,15,
sequence,flow.Sequence,6_14,2023-11-27T19:04:49.579Z,,,,,,,,,,,2513.0779998569633,completion,,,,,,,high,high,,,,,,,true,,,,,false,302027.39999985695,302026.89999985695,299496.882,299499.69999980927,299513.822,302063.61,1,40,,
trial,html.Screen,6_15_0,2023-11-27T19:04:57.010Z,,,,1,-0.9566823908868002,0.9602125665128364,,,true,hl,7394.9899999046465,response,1.0143509683988825,1.2,-1.2,-1.0281980567462463,1.2,-1.2,high,low,,ISIC_0056784.JPG,,ISIC_0062031.JPG,,29,true,0.3600000000000002,hl,keypress(j),0,false,309458.7999999523,309458.59999990463,302013.594,302027.69999980927,302063.61,309496.97,1,40,16,
sequence,flow.Sequence,6_15,2023-11-27T19:04:57.011Z,,,,,,,,,,,7394.9899999046465,completion,,,,,,,high,low,,,,,,,true,,,,,false,309459,309458.59999990463,302013.594,302027.59999990463,302063.61,309496.97,1,40,,
trial,html.Screen,6_16_0,2023-11-27T19:05:00.211Z,,,,1,-0.8709576717420565,1.2795156779072283,,,true,hl,3160.929999856977,response,0.9385447468573198,1.2,-1.2,-1.2289860846064424,1.2,-1.2,high,low,,ISIC_1925632.JPG,,ISIC_0032780.JPG,,29,true,0.3600000000000002,hl,keypress(j),0,false,312658.09999990463,312657.89999985695,309446.841,309459.19999980927,309496.97,312663.666,1,40,17,
sequence,flow.Sequence,6_16,2023-11-27T19:05:00.211Z,,,,,,,,,,,3160.929999856977,completion,,,,,,,high,low,,,,,,,true,,,,,false,312658.19999980927,312657.89999985695,309446.841,309459.09999990463,309496.97,312663.666,1,40,,
trial,html.Screen,6_17_0,2023-11-27T19:05:03.530Z,,,,1,1.1727618800748076,1.0636787813411093,,,true,ll,3314.0339998092386,response,-1.0667480038665316,1.2,-1.2,-0.9195011628288464,1.2,-1.2,low,low,,ISIC_9690371.JPG,,ISIC_0062517.JPG,,211,true,0.3300000000000002,ll,keypress(f),0,false,315977.7999999523,315977.69999980927,312647.058,312658.2999999523,312663.666,315996.986,1,40,18,
sequence,flow.Sequence,6_17,2023-11-27T19:05:03.530Z,,,,,,,,,,,3314.0339998092386,completion,,,,,,,low,low,,,,,,,true,,,,,false,315978,315977.69999980927,312647.058,312658.2999999523,312663.666,315996.986,1,40,,
trial,html.Screen,6_18_0,2023-11-27T19:05:09.891Z,,,,1,1.3559315773956395,-0.924768326187701,,,true,lh,6341.014000000025,response,-0.9448560599810628,1.2,-1.2,0.9099421612683488,1.2,-1.2,low,high,,ISIC_5101111.JPG,,ISIC_9684318.JPG,,26,true,0.3300000000000002,lh,keypress(e),0,false,322338,322338,315963.737,315978,315996.986,322347.018,1,40,19,
