sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,6_7_0,2024-07-08T23:47:37.819Z,,1,1.474716115,-0.847048591,,,TRUE,lh,7771.532,response,-0.865516731,1.2,-1.2,0.929858042,1.2,-1.2,low,high,ISIC_0016092.JPG,,ISIC_4603706.JPG,,27,TRUE,0.42,lh,keypress(e),0,FALSE,182449.1,182448.8,174677.268,174648.6,174677.268,182468.6,1,40,8,,,
sequence,flow.Sequence,6_7,2024-07-08T23:47:37.820Z,,,,,,,,,7771.532,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,182449.4,182448.8,174677.268,174648.5,174677.268,182468.6,1,40,,,,
trial,html.Screen,6_8_0,2024-07-08T23:47:44.264Z,,1,-0.948927472,1.066043716,,,TRUE,hl,6424.9,response,1.011737553,1.2,-1.2,-0.850053022,1.2,-1.2,high,low,ISIC_5808758.JPG,,ISIC_2998367.JPG,,26,TRUE,0.36,hl,keypress(j),0,FALSE,188893.7,188893.5,182452.296,182449.5,182468.6,188895.7,1,40,9,,,
sequence,flow.Sequence,6_8,2024-07-08T23:47:44.264Z,,,,,,,,,6424.9,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,188894.1,188893.5,182452.296,182449.5,182468.6,188895.7,1,40,,,,
trial,html.Screen,6_9_0,2024-07-08T23:47:50.114Z,,1,1.121032506,1.149864832,,,TRUE,ll,5848.4,response,-1.032381876,1.2,-1.2,-0.812023959,1.2,-1.2,low,low,ISIC_0032162.JPG,,ISIC_0012055.JPG,,339,TRUE,0.42,ll,keypress(f),0,FALSE,194744.2,194744.1,188888.3,188894.1,188895.7,194745.7,1,40,10,,,
sequence,flow.Sequence,6_9,2024-07-08T23:47:50.114Z,,,,,,,,,5848.4,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,194744.2,194744.1,188888.3,188894.1,188895.7,194745.7,1,40,,,,
trial,html.Screen,6_10_0,2024-07-08T23:47:53.167Z,,1,-1.247270138,-1.170470471,,,TRUE,hh,3051.1,response,1.071778528,1.2,-1.2,1.126723945,1.2,-1.2,high,high,ISIC_0065774.JPG,,ISIC_9948815.JPG,,26,TRUE,0.15,hh,keypress(i),0,FALSE,197797,197796.8,194738.2,194744.2,194745.7,197798.8,1,40,11,,,
sequence,flow.Sequence,6_10,2024-07-08T23:47:53.167Z,,,,,,,,,3051.1,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,197797.2,197796.8,194738.2,194744.2,194745.7,197798.8,1,40,,,,
trial,html.Screen,6_11_0,2024-07-08T23:47:55.504Z,,1,-1.20713418,-1.235960269,,,TRUE,hh,2334.7,response,1.113776309,1.2,-1.2,1.15999067,1.2,-1.2,high,high,ISIC_0058174.JPG,,ISIC_5413788.JPG,,26,TRUE,0.15,hh,keypress(i),0,FALSE,200133.7,200133.5,197789.6,197797.3,197798.8,200135.5,1,40,12,,,
sequence,flow.Sequence,6_11,2024-07-08T23:47:55.504Z,,,,,,,,,2334.7,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,200133.8,200133.5,197789.6,197797.2,197798.8,200135.5,1,40,,,,
