sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
sequence,flow.Sequence,5_8,2023-11-13T15:26:33.867Z,,,,,,,,4273.45,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1631160.4,1631159.7,1626869.285,1626969,1626886.25,1631073.516,1,20,,,,
trial,html.Screen,5_9_0,2023-11-13T15:26:41.740Z,,1,-0.069221079,-0.047475574,,TRUE,lh,7959.484,response,-0.950068904,1,-1,0.987379433,1,-1,low,high,ISIC_8794567.JPG,,ISIC_0013498.JPG,24,TRUE,lh,keypress(e),0,FALSE,1639033.5,1639033,1631056.575,1631160.6,1631073.516,1638946.241,1,20,10,,,
sequence,flow.Sequence,5_9,2023-11-13T15:26:41.741Z,,,,,,,,7959.484,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1639034.1,1639033,1631056.575,1631160.6,1631073.516,1638946.241,1,20,,,,
trial,html.Screen,5_10_0,2023-11-13T15:26:46.700Z,,1,-0.022762665,0.037779184,,TRUE,hh,5046.259,response,0.936535825,1,-1,1.019373573,1,-1,high,high,ISIC_7167479.JPG,,ISIC_0071951.JPG,154,TRUE,hh,keypress(i),0,FALSE,1643992.8,1643992.5,1638929.632,1639034.4,1638946.241,1643900.37,1,20,11,,,
sequence,flow.Sequence,5_10,2023-11-13T15:26:46.700Z,,,,,,,,5046.259,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1643993.4,1643992.5,1638929.632,1639034.4,1638946.241,1643900.37,1,20,,,,
trial,html.Screen,5_11_0,2023-11-13T15:26:50.780Z,,1,-0.068563375,-0.038044043,,TRUE,lh,4172.43,response,-0.802307599,1,-1,1.008837654,1,-1,low,high,ISIC_0032680.JPG,,ISIC_7619234.JPG,24,TRUE,lh,keypress(e),0,FALSE,1648073.2,1648072.8,1643883.838,1643993.7,1643900.37,1647987.036,1,20,12,,,
sequence,flow.Sequence,5_11,2023-11-13T15:26:50.781Z,,,,,,,,4172.43,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1648073.9,1648072.8,1643883.838,1643993.7,1643900.37,1647987.036,1,20,,,,
trial,html.Screen,5_12_0,2023-11-13T15:26:55.788Z,,1,0.017883272,-0.005104674,,TRUE,ll,5093.564,response,-0.907829267,1,-1,-0.967434314,1,-1,low,low,ISIC_9545819.JPG,,ISIC_0011668.JPG,111,TRUE,ll,keypress(f),0,FALSE,1653081,1653080.6,1647970.105,1648074.2,1647987.036,1652991.205,1,20,13,,,
sequence,flow.Sequence,5_12,2023-11-13T15:26:55.789Z,,,,,,,,5093.564,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1653081.6,1653080.6,1647970.105,1648074.1,1647987.036,1652991.205,1,20,,,,
trial,html.Screen,5_13_0,2023-11-13T15:27:00.108Z,,1,0.010287156,0.045028243,,TRUE,lh,4408.695,response,-0.808085426,1,-1,1.127346632,1,-1,low,high,ISIC_1805163.JPG,,ISIC_0011045.JPG,24,TRUE,lh,keypress(e),0,FALSE,1657400.4,1657399.9,1652974.511,1653081.9,1652991.205,1657311.402,1,20,14,,,
